name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dakshina Kannada,01-01-2019,33.8,21,26.5,33.1,21,26.3,15.5,53.4,0,0,0,,0,0,28.8,18.5,76.1,1014.3,0,6.8,247.6,21.3,9,,2019-01-01T06:50:54,2019-01-01T18:13:49,0.83,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,02-01-2019,32.9,19.1,25.7,31.4,19.1,25.3,12.8,47.4,0,0,0,,0,0,25.9,14.9,91.6,1014.8,8.7,7.3,252.3,21.9,9,,2019-01-02T06:51:17,2019-01-02T18:14:22,0.87,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,remote,AUZY,43285099999"
Dakshina Kannada,03-01-2019,33,19,25.4,31.2,19,25.1,14.2,54,0,0,0,,0,0,22.7,20.1,15.3,1015.7,4.8,7,252,21.8,9,,2019-01-03T06:51:39,2019-01-03T18:14:56,0.9,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,AUZY,43285099999"
Dakshina Kannada,04-01-2019,34.2,20,26.1,32.3,20,25.6,13.1,48.1,0,0,0,,0,0,32.4,14.8,85.1,1014.7,0.4,7,252.4,21.8,9,,2019-01-04T06:52:00,2019-01-04T18:15:30,0.94,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,05-01-2019,33.9,20,25.8,31.5,20,25.4,12.5,48,0,0,0,,0,0,25.2,18.4,121,1013.7,8.4,6.7,251.9,21.9,9,,2019-01-05T06:52:21,2019-01-05T18:16:04,0.97,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,06-01-2019,32,19,25.1,34.2,19,25.7,18.1,66,0,0,0,,0,0,32.8,18.3,31.6,1012.5,13.1,6.5,244.7,21.1,9,,2019-01-06T06:52:40,2019-01-06T18:16:38,0,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,07-01-2019,33.2,21,26,33.1,21,26.2,18.1,64.4,0,0,0,,0,0,31.7,18.4,163.8,1011.9,4,5.7,247.4,21.2,9,,2019-01-07T06:52:59,2019-01-07T18:17:12,0.04,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,08-01-2019,32.1,21.6,26.2,33.6,21.6,26.6,18.8,65.4,0,0,0,,0,0,22.3,16.6,33.9,1012.1,6.7,5.8,246.1,21.3,9,,2019-01-08T06:53:17,2019-01-08T18:17:46,0.07,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43260099999,43284099999,43287099999,remote,AUZY,43285099999"
Dakshina Kannada,09-01-2019,33.4,21,26.1,31.7,21,25.7,15.9,58.7,0,0,0,,0,0,24.1,14.8,78.4,1011.8,2.5,5.9,250.6,21.7,9,,2019-01-09T06:53:34,2019-01-09T18:18:20,0.11,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,10-01-2019,32,20,25.5,32.2,20,25.9,17.6,64.9,0,0,0,,0,0,29.9,16.6,131.2,1011.7,1,6.1,251.1,21.7,9,,2019-01-10T06:53:49,2019-01-10T18:18:53,0.14,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,11-01-2019,32.1,21.9,26.1,34.2,21.9,27.1,20.4,72.4,0,0,0,,0,0,28.4,18.4,139.3,1012.9,6.7,5.4,247.3,21.6,9,,2019-01-11T06:54:04,2019-01-11T18:19:27,0.17,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,12-01-2019,32,22,26.4,34.2,22,27.2,20.1,69.6,0,0,0,,0,0,29.9,17.5,18.8,1012.6,14.7,5.5,240.2,20.8,8,,2019-01-12T06:54:18,2019-01-12T18:20:01,0.2,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,13-01-2019,34,22,26.6,33.4,22,26.7,18.1,62.7,0,0,0,,0,0,33.8,20.9,57.7,1012.6,4.6,5.8,250.4,21.8,9,,2019-01-13T06:54:31,2019-01-13T18:20:34,0.24,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,14-01-2019,33.1,22,26.5,34.5,22,26.9,19.1,67.1,0,0,0,,0,0,24.8,18.4,50.7,1011.7,0.8,5.9,251.8,21.8,9,,2019-01-14T06:54:43,2019-01-14T18:21:07,0.25,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,15-01-2019,33.8,21,26.4,32.3,21,26.4,17.5,62.8,0,0,0,,0,0,25.2,18.4,104.1,1012.3,2.8,6.1,254.1,22.1,9,,2019-01-15T06:54:53,2019-01-15T18:21:40,0.3,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,16-01-2019,34,17.7,26.2,32.5,17.7,25.9,14.6,53,0,0,0,,0,0,27.4,18.4,61.6,1012.6,5.1,6.1,259.5,22.4,9,,2019-01-16T06:55:03,2019-01-16T18:22:13,0.34,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,remote,AUZY,43285099999"
Dakshina Kannada,17-01-2019,33,20,26,32.1,20,25.9,15.7,55.5,0,0,0,,0,0,24.8,18.4,69.9,1011.2,8.3,5.7,255.6,22,9,,2019-01-17T06:55:12,2019-01-17T18:22:45,0.37,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,18-01-2019,33,21,26.1,33,21,26.4,17.6,62.1,0,0,0,,0,0,28.4,19.7,85.5,1011.5,1.1,5.5,253.2,21.8,9,,2019-01-18T06:55:19,2019-01-18T18:23:17,0.4,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,19-01-2019,32,22,26,31.3,22,26,17.5,62,0,0,0,,0,0,32.4,18.4,346.3,1012.9,14.2,5.2,253.8,22,9,,2019-01-19T06:55:26,2019-01-19T18:23:49,0.44,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,20-01-2019,33.1,20,26.1,32,20,26,16.2,57.8,0,0,0,,0,0,26.6,15.4,78,1013.1,14.1,5.4,259.2,22.5,9,,2019-01-20T06:55:31,2019-01-20T18:24:20,0.47,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,21-01-2019,31.3,21,25.7,31.9,21,25.9,17.2,61,0,0,0,,0,0,33.8,15.6,147.6,1013.2,18.9,5.9,252.8,21.9,9,,2019-01-21T06:55:36,2019-01-21T18:24:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,remote,AUZY,43285099999"
Dakshina Kannada,22-01-2019,31.9,22,26.1,33,22,26.7,19.5,68.8,0,0,0,,0,0,30.2,22.1,350.6,1013,23.1,5.8,233.8,20.2,8,,2019-01-22T06:55:39,2019-01-22T18:25:21,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,23-01-2019,33,21,26.2,32.3,21,26.5,18.6,65.3,0,0,0,,0,0,29.9,22.3,354.9,1012.6,7.8,5.9,251.8,21.8,9,,2019-01-23T06:55:41,2019-01-23T18:25:51,0.57,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,24-01-2019,31,23,26,32.4,23,26.5,18.7,64.6,0,0,0,,0,0,29.9,20.5,354.1,1013.3,15.7,6.2,236.2,20.4,9,,2019-01-24T06:55:42,2019-01-24T18:26:21,0.6,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,25-01-2019,30,22.9,26,31.9,22.9,26.6,19.9,70.6,0,0,0,,0,0,30.2,18.4,2.6,1012.9,26.3,6,222.4,19.1,8,,2019-01-25T06:55:42,2019-01-25T18:26:50,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43284099999,AUZY,43285099999"
Dakshina Kannada,26-01-2019,30,22,25.4,30.8,22,25.7,18,64.7,0,0,0,,0,0,27.7,18.4,3.7,1013.3,18.7,6.7,219.6,19,8,,2019-01-26T06:55:41,2019-01-26T18:27:19,0.67,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,27-01-2019,30.1,21,25.2,31.3,21,25.5,18,65.6,0,0,0,,0,0,28.1,21.1,356.7,1013.7,14.4,6.2,248,21.4,9,,2019-01-27T06:55:38,2019-01-27T18:27:47,0.71,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY"
Dakshina Kannada,28-01-2019,33,20,25.9,34,20,26,17.2,60.9,0,0,0,,0,0,31,24.1,291.3,1013.7,13.6,6.5,256.4,22.2,9,,2019-01-28T06:55:35,2019-01-28T18:28:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,remote,AUZY,43285099999"
Dakshina Kannada,29-01-2019,33,21,26.8,33.5,21,27.2,17.5,58.4,0,0,0,,0,0,30.6,17.5,60.6,1013.2,9.4,7,253.9,22.1,9,,2019-01-29T06:55:31,2019-01-29T18:28:42,0.77,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,AUZY,43285099999"
Dakshina Kannada,30-01-2019,34,22,27,34,22,27.8,19,63.5,0,0,0,,0,0,34.9,16.9,39.2,1013.1,9.2,6.1,250.9,21.6,9,,2019-01-30T06:55:25,2019-01-30T18:29:08,0.81,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,31-01-2019,33,22,27,34.9,22,27.6,19.6,66.2,0,0,0,,0,0,31.3,14.8,62.9,1012.6,12.4,6,249.5,21.7,9,,2019-01-31T06:55:18,2019-01-31T18:29:34,0.84,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,01-02-2019,33.2,22,26.8,33,22,27.4,19.3,66.1,0,0,0,,0,0,35.6,20.3,197.1,1012.6,25.2,5.8,239.6,20.7,8,,2019-02-01T06:55:11,2019-02-01T18:30:00,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,02-02-2019,33,23,27.1,33.5,23,27.6,19.7,66.2,0,0,0,,0,0,32.8,22.3,339.2,1011.8,20,5.3,257.4,22.1,9,,2019-02-02T06:55:02,2019-02-02T18:30:24,0.91,Clear,Partly cloudy throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,03-02-2019,32,22,26.7,34.3,22,27.4,19.3,65.5,0,0,0,,0,0,33.8,18.4,302.7,1012.6,5.3,6.1,259.2,22.5,9,,2019-02-03T06:54:52,2019-02-03T18:30:49,0.95,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43260099999,43284099999,43287099999,AUZY,43285099999"
Dakshina Kannada,04-02-2019,34,22,27.1,35.8,22,28,19.7,66.3,0,0,0,,0,0,32.4,16.9,181.6,1013.8,4.3,6,261,22.6,9,,2019-02-04T06:54:41,2019-02-04T18:31:12,0.98,Clear,Clear conditions throughout the day.,clear-day,"VOML,43257099999,43284099999,43287099999,AUZY,43285099999"
