name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dakshina Kannada,2021-06-01,87.8,76.6,80.6,99.9,76.6,84.9,75.2,84.2,0.512,100,8.33,rain,0,0,21,11.4,138.3,1007.4,75.9,3.7,201.5,17.2,8,,2021-06-01T06:01:55,2021-06-01T18:51:54,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-02,88.1,77,82.4,99.9,77,89.3,75.9,81.3,0.012,100,4.17,rain,0,0,16.8,12.8,169.8,1007.2,59.5,4.2,220.7,19.2,9,,2021-06-02T06:01:56,2021-06-02T18:52:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-03,89.6,78.8,83.1,102.6,78.8,90.7,77.1,83,0.024,100,4.17,rain,0,0,17.9,12.8,163.1,1007.5,75,4,194.6,16.8,7,,2021-06-03T06:01:57,2021-06-03T18:52:30,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-04,84.2,76.5,79.9,94.2,76.5,84.1,75.7,87.4,1.984,100,12.5,rain,0,0,11.9,8.1,126.7,1008.6,87.9,3.5,84.7,7.3,4,,2021-06-04T06:02:00,2021-06-04T18:52:48,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-05,82.7,75.2,79.4,89.8,75.2,82.1,74.7,85.6,0.307,100,8.33,rain,0,0,17,10.3,140.8,1008.3,89.1,3.5,90.9,7.9,6,,2021-06-05T06:02:03,2021-06-05T18:53:06,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-06,87.8,73.4,80.2,99.9,73.4,85,74.6,83.6,0.598,100,4.17,rain,0,0,11.9,9.2,162.9,1008.8,65.4,3.8,120.6,10.5,5,,2021-06-06T06:02:07,2021-06-06T18:53:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-06-07,89.6,77,83,100.3,77,88.7,75.2,78.1,0,0,0,,0,0,16.6,10.3,239.7,1009.2,37.7,4.3,214.4,18.6,8,,2021-06-07T06:02:11,2021-06-07T18:53:41,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-08,85.1,77,81,94.2,77,85.2,74.3,80.6,0,0,0,,0,0,21.5,13.9,30.6,1008.9,56.4,3.7,235.1,20.4,9,,2021-06-08T06:02:16,2021-06-08T18:53:58,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-09,84.2,74.8,78.5,91,74.8,80.3,72.4,82.1,0.503,100,12.5,rain,0,0,23.9,11.4,25.4,1008.5,78.5,3.9,179.7,15.5,7,,2021-06-09T06:02:22,2021-06-09T18:54:15,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-10,80.6,73.4,77.3,87.1,73.4,78.6,73.7,88.7,1.064,100,12.5,rain,0,0,22.1,11.4,77.3,1007.3,79.1,3.3,175.9,15.2,7,,2021-06-10T06:02:29,2021-06-10T18:54:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
