name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dakshina Kannada,2021-06-01,31,24.8,27,37.7,24.8,29.4,24,84.2,13,100,8.33,rain,0,0,33.8,18.4,138.1,1007.4,75.9,6,201.5,17.2,8,,2021-06-01T06:01:55,2021-06-01T18:51:54,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-02,31.2,25,28,37.7,25,31.8,24.4,81.3,0.3,100,4.17,rain,0,0,27,20.5,169.7,1007.2,59.5,6.8,220.7,19.2,9,,2021-06-02T06:01:56,2021-06-02T18:52:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-03,32,26,28.4,39.2,26,32.6,25.1,83,0.6,100,4.17,rain,0,0,28.8,20.5,163,1007.5,75,6.4,194.6,16.8,7,,2021-06-03T06:01:57,2021-06-03T18:52:30,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-04,29,24.7,26.6,34.5,24.7,28.9,24.3,87.4,50.4,100,12.5,rain,0,0,19.1,13,126.8,1008.6,87.9,5.6,84.7,7.3,4,,2021-06-04T06:02:00,2021-06-04T18:52:48,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-05,28.2,24,26.4,32.1,24,27.8,23.7,85.6,7.8,100,8.33,rain,0,0,27.4,16.6,140.8,1008.3,89.1,5.7,90.9,7.9,6,,2021-06-05T06:02:03,2021-06-05T18:53:06,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-06,31,23,26.8,37.7,23,29.4,23.7,83.6,15.2,100,4.17,rain,0,0,19.1,14.8,163,1008.8,65.4,6.2,120.6,10.5,5,,2021-06-06T06:02:07,2021-06-06T18:53:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOML,43260099999,43284099999,remote,43285099999"
Dakshina Kannada,2021-06-07,32,25,28.3,37.9,25,31.5,24,78.1,0,0,0,,0,0,26.6,16.6,239.6,1009.2,37.7,7,214.4,18.6,8,,2021-06-07T06:02:11,2021-06-07T18:53:41,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-08,29.5,25,27.2,34.5,25,29.6,23.5,80.6,0,0,0,,0,0,34.6,22.3,30.4,1008.9,56.4,6,235.1,20.4,9,,2021-06-08T06:02:16,2021-06-08T18:53:58,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-09,29,23.8,25.8,32.8,23.8,26.8,22.5,82.1,12.8,100,12.5,rain,0,0,38.5,18.4,25.2,1008.5,78.5,6.3,179.7,15.5,7,,2021-06-09T06:02:22,2021-06-09T18:54:15,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-10,27,23,25.2,30.6,23,25.9,23.2,88.7,27,100,12.5,rain,0,0,35.6,18.4,77.3,1007.3,79.1,5.3,175.9,15.2,7,,2021-06-10T06:02:29,2021-06-10T18:54:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-11,30,23,26.6,36.2,23,28.9,23.6,84.2,10.3,100,8.33,rain,0,0,34.6,22.3,195.3,1007.3,86.5,5.9,141.4,12.2,6,,2021-06-11T06:02:36,2021-06-11T18:54:49,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-12,28,23,25.2,31.9,23,25.7,23.1,88.5,43.7,100,16.67,rain,0,0,42.1,27.7,269.5,1008,89.3,4.3,69,6.2,4,,2021-06-12T06:02:44,2021-06-12T18:55:06,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
Dakshina Kannada,2021-06-13,26,22.7,23.7,26,22.7,23.7,22.5,93.3,61,100,25,rain,0,0,34.9,14.8,52.9,1007.8,97,3.7,51.6,4.6,2,,2021-06-13T06:02:53,2021-06-13T18:55:22,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43287099999,43285099999"
Dakshina Kannada,2021-06-14,25,23,24.1,25,23,24.1,22.9,93.1,101,100,29.17,rain,0,0,49,22.3,269.9,1007.2,97.2,3.3,43.7,3.6,2,,2021-06-14T06:03:02,2021-06-14T18:55:38,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOML,43260099999,43284099999,43285099999"
