datetime,temp,humidity,precip,precipprob,windspeed,city
2019-01-01,79.6,53.4,0.0,0,11.5,2019-01-01 to 2021-05-31
2019-01-02,78.2,47.4,0.0,0,9.3,2019-01-01 to 2021-05-31
2019-01-03,77.8,54.0,0.0,0,12.5,2019-01-01 to 2021-05-31
2019-01-04,78.9,48.1,0.0,0,9.2,2019-01-01 to 2021-05-31
2019-01-05,78.5,48.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-06,77.2,66.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-07,78.8,64.4,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-08,79.1,65.4,0.0,0,10.3,2019-01-01 to 2021-05-31
2019-01-09,78.9,58.7,0.0,0,9.2,2019-01-01 to 2021-05-31
2019-01-10,77.9,64.9,0.0,0,10.3,2019-01-01 to 2021-05-31
2019-01-11,79.0,72.4,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-12,79.5,69.6,0.0,0,10.9,2019-01-01 to 2021-05-31
2019-01-13,79.9,62.7,0.0,0,13.0,2019-01-01 to 2021-05-31
2019-01-14,79.7,67.1,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-15,79.5,62.8,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-16,79.1,53.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-17,78.8,55.5,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-18,79.0,62.1,0.0,0,12.3,2019-01-01 to 2021-05-31
2019-01-19,78.8,62.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-20,78.9,57.8,0.0,0,9.5,2019-01-01 to 2021-05-31
2019-01-21,78.3,61.0,0.0,0,9.7,2019-01-01 to 2021-05-31
2019-01-22,78.9,68.8,0.0,0,13.8,2019-01-01 to 2021-05-31
2019-01-23,79.2,65.3,0.0,0,13.9,2019-01-01 to 2021-05-31
2019-01-24,78.8,64.6,0.0,0,12.8,2019-01-01 to 2021-05-31
2019-01-25,78.7,70.6,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-26,77.7,64.7,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-01-27,77.4,65.6,0.0,0,13.1,2019-01-01 to 2021-05-31
2019-01-28,78.6,60.9,0.0,0,15.0,2019-01-01 to 2021-05-31
2019-01-29,80.3,58.4,0.0,0,10.9,2019-01-01 to 2021-05-31
2019-01-30,80.6,63.5,0.0,0,10.5,2019-01-01 to 2021-05-31
2019-01-31,80.6,66.2,0.0,0,9.2,2019-01-01 to 2021-05-31
2019-02-01,80.1,66.1,0.0,0,12.6,2019-01-01 to 2021-05-31
2019-02-02,80.8,66.2,0.0,0,13.9,2019-01-01 to 2021-05-31
2019-02-03,80.0,65.5,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-02-04,80.8,66.3,0.0,0,10.5,2019-01-01 to 2021-05-31
2019-02-05,82.6,64.3,0.0,0,10.8,2019-01-01 to 2021-05-31
2019-02-06,82.4,70.6,0.0,0,10.3,2019-01-01 to 2021-05-31
2019-02-07,81.8,68.3,0.0,0,12.8,2019-01-01 to 2021-05-31
2019-02-08,80.4,65.8,0.0,0,13.9,2019-01-01 to 2021-05-31
2019-02-09,80.9,64.9,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-02-10,80.4,67.8,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-02-11,82.0,66.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-02-12,83.8,60.8,0.0,0,13.9,2019-01-01 to 2021-05-31
2019-02-13,83.1,63.7,0.0,0,14.2,2019-01-01 to 2021-05-31
2019-02-14,83.2,62.5,0.0,0,15.0,2019-01-01 to 2021-05-31
2019-02-15,82.1,69.0,0.0,0,11.4,2019-01-01 to 2021-05-31
2019-02-16,82.2,69.6,0.0,0,13.9,2019-01-01 to 2021-05-31
2019-02-17,80.8,65.0,0.0,0,13.7,2019-01-01 to 2021-05-31
2019-02-18,79.9,64.5,0.0,0,9.6,2019-01-01 to 2021-05-31
2019-02-19,78.8,68.5,0.0,0,11.1,2019-01-01 to 2021-05-31
2019-02-20,82.7,62.6,0.0,0,12.5,2019-01-01 to 2021-05-31
2019-02-21,82.9,62.6,0.0,0,13.9,2019-01-01 to 2021-05-31
