datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk,city
2021-06-01,1622485800,31.0,24.8,27.0,37.7,24.8,29.6,24.1,84.3,13.0,100.0,8.33,['rain'],0.0,0.0,37.8,18.4,138.9,1007.4,75.8,6.0,215.9,18.6,8.0,06:03:30,1622507610,18:53:35,1622553815,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-02,1622572200,31.1,25.0,28.0,37.7,25.0,31.8,24.4,81.5,0.3,100.0,4.17,['rain'],0.0,0.0,24.5,20.5,168.3,1007.2,59.4,6.8,238.7,20.3,9.0,06:03:30,1622594010,18:53:53,1622640233,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-03,1622658600,32.0,26.0,28.4,39.2,26.0,32.7,25.1,83.0,0.6,100.0,4.17,['rain'],0.0,0.0,31.0,20.5,164.1,1007.5,75.2,6.4,203.8,17.6,7.0,06:03:32,1622680412,18:54:11,1622726651,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-04,1622745000,29.0,24.9,26.6,34.5,24.9,29.0,24.3,87.5,50.4,100.0,12.5,['rain'],0.0,0.0,24.5,13.0,124.6,1008.6,88.2,5.5,75.1,6.5,5.0,06:03:34,1622766814,18:54:29,1622813069,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-05,1622831400,28.1,24.0,26.4,32.1,24.0,27.8,23.7,85.8,7.8,100.0,8.33,['rain'],0.0,0.0,36.4,16.6,141.2,1008.3,89.2,5.7,115.8,10.0,6.0,06:03:37,1622853217,18:54:46,1622899486,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-06,1622917800,31.0,23.0,26.8,37.7,23.0,29.5,23.7,83.7,15.2,100.0,4.17,['rain'],0.0,0.0,25.6,14.8,164.9,1008.8,64.9,6.3,200.6,17.1,7.0,06:03:41,1622939621,18:55:04,1622985904,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['VOML', '43284099999', 'remote', '43285099999']",obs,,Dakshina_Kannada
2021-06-07,1623004200,32.0,25.0,28.3,37.9,25.0,31.6,24.0,78.2,0.0,0.0,0.0,,0.0,0.0,25.6,16.6,240.9,1009.3,37.4,7.0,237.4,20.6,9.0,06:03:45,1623026025,18:55:21,1623072321,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-08,1623090600,29.5,25.0,27.2,34.5,25.0,29.7,23.5,80.7,0.0,0.0,0.0,,0.0,0.0,30.6,22.3,25.4,1008.9,56.2,6.0,230.5,20.1,9.0,06:03:51,1623112431,18:55:39,1623158739,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-09,1623177000,29.0,23.8,25.8,32.7,23.8,26.8,22.5,82.3,12.8,100.0,12.5,['rain'],0.0,0.0,34.9,18.4,26.5,1008.5,78.4,6.3,206.9,18.0,8.0,06:03:56,1623198836,18:55:56,1623245156,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-10,1623263400,27.0,23.0,25.2,30.6,23.0,25.9,23.2,88.8,27.0,100.0,12.5,['rain'],0.0,0.0,35.3,18.4,76.3,1007.3,79.1,5.3,204.5,17.7,8.0,06:04:03,1623285243,18:56:13,1623331573,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-11,1623349800,30.0,23.0,26.6,36.2,23.0,28.9,23.6,84.3,10.3,100.0,8.33,['rain'],0.0,0.0,35.6,22.3,196.7,1007.3,86.7,5.9,156.6,13.5,7.0,06:04:10,1623371650,18:56:30,1623417990,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-12,1623436200,28.0,23.0,25.2,31.9,23.0,25.7,23.1,88.5,43.7,100.0,16.67,['rain'],0.0,0.0,51.5,27.7,269.9,1008.0,89.4,4.3,76.6,6.6,4.0,06:04:18,1623458058,18:56:46,1623504406,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-13,1623522600,26.0,23.0,23.7,26.0,23.0,23.7,22.6,93.4,61.0,100.0,25.0,['rain'],0.0,0.0,42.5,14.8,53.5,1007.8,97.1,3.7,84.3,7.3,3.0,06:04:27,1623544467,18:57:03,1623590823,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-14,1623609000,25.0,23.0,24.1,25.0,23.0,24.1,22.9,93.2,101.0,100.0,29.17,['rain'],0.0,0.0,54.4,22.3,268.8,1007.2,97.4,3.4,46.1,4.0,2.0,06:04:36,1623630876,18:57:18,1623677238,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-15,1623695400,28.1,23.0,25.6,32.8,23.0,26.8,23.7,89.4,33.0,100.0,20.83,['rain'],0.0,0.0,51.8,20.5,234.9,1005.8,100.0,3.6,111.2,9.7,5.0,06:04:46,1623717286,18:57:34,1623763654,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-16,1623781800,28.1,25.0,26.8,33.8,25.0,29.4,24.3,86.3,16.0,100.0,16.67,['rain'],0.0,0.0,52.6,37.1,223.9,1006.7,94.8,4.3,120.2,10.5,4.0,06:04:56,1623803696,18:57:49,1623850069,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-17,1623868200,29.0,25.0,27.1,35.6,25.0,30.1,24.2,84.4,15.0,100.0,8.33,['rain'],0.0,0.0,52.6,37.1,225.0,1007.7,91.1,4.6,158.2,13.7,5.0,06:05:07,1623890107,18:58:04,1623936484,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
2021-06-18,1623954600,30.0,25.0,27.4,36.2,25.0,30.5,24.2,82.7,14.0,100.0,16.67,['rain'],0.0,0.0,47.2,29.5,219.7,1008.9,85.5,5.2,163.1,13.9,6.0,06:05:18,1623976518,18:58:19,1624022899,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['VOML', '43284099999', '43285099999']",obs,,Dakshina_Kannada
